dataset,method,category,tier,recall_pct,precision_pct,f1_pct,category_accuracy_pct,tp,fp,fn,ms_per_narrative
natural,presidio,ACCOUNT_ID,1,68.52,,,,753,,346,
natural,presidio,AMOUNT,3,0.0,,,,0,,389,
natural,presidio,CASE_REF,1,100.0,,,,309,,0,
natural,presidio,CONTACT,1,100.0,,,,179,,0,
natural,presidio,DATE,3,100.0,,,,11379,,0,
natural,presidio,EMPLOYER,2,0.0,,,,0,,16,
natural,presidio,GOV_ID,1,100.0,,,,14,,0,
natural,presidio,HEALTH,2,0.0,,,,0,,10,
natural,presidio,LIFE_EVENT,2,0.0,,,,0,,18,
natural,presidio,LOCATION_FINE,2,92.13,,,,164,,14,
natural,presidio,MERCHANT,3,15.38,,,,8,,44,
natural,presidio,ORG_THIRD_PARTY,2,0.0,,,,0,,966,
natural,presidio,PERSON,1,99.04,,,,722,,7,
natural,presidio,PROTECTED_ATTR,2,25.58,,,,22,,64,
natural,presidio,RELATIONSHIP,2,0.0,,,,0,,13,
natural,presidio,TEMPORAL,3,42.69,,,,543,,729,
natural,spacy,ALL,,56.92,40.66,47.44,,9511,13878,7198,22.4
natural,spacy,ACCOUNT_ID,1,54.96,,,,604,,495,
natural,spacy,AMOUNT,3,100.0,,,,389,,0,
natural,spacy,CASE_REF,1,58.58,,,,181,,128,
natural,spacy,CONTACT,1,52.51,,,,94,,85,
natural,spacy,DATE,3,51.43,,,,5852,,5527,
natural,spacy,EMPLOYER,2,100.0,,,,16,,0,
natural,spacy,GOV_ID,1,0.0,,,,0,,14,
natural,spacy,HEALTH,2,0.0,,,,0,,10,
natural,spacy,LIFE_EVENT,2,5.56,,,,1,,17,
natural,spacy,LOCATION_FINE,2,100.0,,,,178,,0,
natural,spacy,MERCHANT,3,100.0,,,,52,,0,
natural,spacy,ORG_THIRD_PARTY,2,87.99,,,,850,,116,
natural,spacy,PERSON,1,100.0,,,,729,,0,
natural,spacy,PROTECTED_ATTR,2,25.58,,,,22,,64,
natural,spacy,RELATIONSHIP,2,0.0,,,,0,,13,
natural,spacy,TEMPORAL,3,42.69,,,,543,,729,
natural,regex,ALL,,3.48,24.3,6.09,,582,1813,16127,0.1
natural,regex,ACCOUNT_ID,1,0.0,,,,0,,1099,
natural,regex,AMOUNT,3,100.0,,,,389,,0,
natural,regex,CASE_REF,1,0.0,,,,0,,309,
natural,regex,CONTACT,1,100.0,,,,179,,0,
natural,regex,DATE,3,0.0,,,,0,,11379,
natural,regex,EMPLOYER,2,0.0,,,,0,,16,
natural,regex,GOV_ID,1,100.0,,,,14,,0,
natural,regex,HEALTH,2,0.0,,,,0,,10,
natural,regex,LIFE_EVENT,2,0.0,,,,0,,18,
natural,regex,LOCATION_FINE,2,0.0,,,,0,,178,
natural,regex,MERCHANT,3,0.0,,,,0,,52,
natural,regex,ORG_THIRD_PARTY,2,0.0,,,,0,,966,
natural,regex,PERSON,1,0.0,,,,0,,729,
natural,regex,PROTECTED_ATTR,2,0.0,,,,0,,86,
natural,regex,RELATIONSHIP,2,0.0,,,,0,,13,
natural,regex,TEMPORAL,3,0.0,,,,0,,1272,
seen_templates,encoder,ALL,,98.77,99.88,99.32,100.0,16288,20,203,190.0
seen_templates,encoder,ACCOUNT_ID,1,98.92,,,,1004,,11,
seen_templates,encoder,AMOUNT,3,98.52,,,,999,,15,
seen_templates,encoder,CASE_REF,1,99.21,,,,999,,8,
seen_templates,encoder,CONTACT,1,98.65,,,,947,,13,
seen_templates,encoder,DATE,3,98.16,,,,958,,18,
seen_templates,encoder,EMPLOYER,2,98.74,,,,1016,,13,
seen_templates,encoder,GOV_ID,1,98.73,,,,936,,12,
seen_templates,encoder,HEALTH,2,98.79,,,,977,,12,
seen_templates,encoder,LIFE_EVENT,2,98.67,,,,962,,13,
seen_templates,encoder,LOCATION_FINE,2,98.87,,,,959,,11,
seen_templates,encoder,MERCHANT,3,98.51,,,,994,,15,
seen_templates,encoder,ORG_THIRD_PARTY,2,98.54,,,,943,,14,
seen_templates,encoder,PERSON,1,99.42,,,,1028,,6,
seen_templates,encoder,PROTECTED_ATTR,2,99.21,,,,1009,,8,
seen_templates,encoder,RELATIONSHIP,2,99.24,,,,1041,,8,
seen_templates,encoder,TEMPORAL,3,98.31,,,,1516,,26,
seen_templates,presidio,ALL,,50.85,48.86,49.83,,8385,8777,8106,29.8
seen_templates,presidio,ACCOUNT_ID,1,68.57,,,,696,,319,
seen_templates,presidio,AMOUNT,3,0.0,,,,0,,1014,
seen_templates,presidio,CASE_REF,1,99.9,,,,1006,,1,
seen_templates,presidio,CONTACT,1,95.1,,,,913,,47,
seen_templates,presidio,DATE,3,100.0,,,,976,,0,
seen_templates,presidio,EMPLOYER,2,0.0,,,,0,,1029,
seen_templates,presidio,GOV_ID,1,99.79,,,,946,,2,
seen_templates,presidio,HEALTH,2,12.44,,,,123,,866,
seen_templates,presidio,LIFE_EVENT,2,0.0,,,,0,,975,
seen_templates,presidio,LOCATION_FINE,2,95.98,,,,931,,39,
seen_templates,presidio,MERCHANT,3,21.8,,,,220,,789,
seen_templates,presidio,ORG_THIRD_PARTY,2,0.42,,,,4,,953,
seen_templates,presidio,PERSON,1,99.52,,,,1029,,5,
seen_templates,presidio,PROTECTED_ATTR,2,18.39,,,,187,,830,
seen_templates,presidio,RELATIONSHIP,2,0.0,,,,0,,1049,
seen_templates,presidio,TEMPORAL,3,87.81,,,,1354,,188,
seen_templates,spacy,ALL,,56.86,35.33,43.58,,9376,17160,7115,23.8
seen_templates,spacy,ACCOUNT_ID,1,34.29,,,,348,,667,
seen_templates,spacy,AMOUNT,3,100.0,,,,1014,,0,
seen_templates,spacy,CASE_REF,1,40.71,,,,410,,597,
seen_templates,spacy,CONTACT,1,35.21,,,,338,,622,
seen_templates,spacy,DATE,3,53.48,,,,522,,454,
seen_templates,spacy,EMPLOYER,2,100.0,,,,1029,,0,
seen_templates,spacy,GOV_ID,1,2.11,,,,20,,928,
seen_templates,spacy,HEALTH,2,12.44,,,,123,,866,
seen_templates,spacy,LIFE_EVENT,2,14.46,,,,141,,834,
seen_templates,spacy,LOCATION_FINE,2,100.0,,,,970,,0,
seen_templates,spacy,MERCHANT,3,100.0,,,,1009,,0,
seen_templates,spacy,ORG_THIRD_PARTY,2,88.09,,,,843,,114,
seen_templates,spacy,PERSON,1,100.0,,,,1034,,0,
seen_templates,spacy,PROTECTED_ATTR,2,18.39,,,,187,,830,
seen_templates,spacy,RELATIONSHIP,2,0.0,,,,0,,1049,
seen_templates,spacy,TEMPORAL,3,90.01,,,,1388,,154,
seen_templates,regex,ALL,,17.72,59.5,27.31,,2922,1989,13569,0.1
seen_templates,regex,ACCOUNT_ID,1,0.0,,,,0,,1015,
seen_templates,regex,AMOUNT,3,100.0,,,,1014,,0,
seen_templates,regex,CASE_REF,1,0.0,,,,0,,1007,
seen_templates,regex,CONTACT,1,100.0,,,,960,,0,
seen_templates,regex,DATE,3,0.0,,,,0,,976,
seen_templates,regex,EMPLOYER,2,0.0,,,,0,,1029,
seen_templates,regex,GOV_ID,1,100.0,,,,948,,0,
seen_templates,regex,HEALTH,2,0.0,,,,0,,989,
seen_templates,regex,LIFE_EVENT,2,0.0,,,,0,,975,
seen_templates,regex,LOCATION_FINE,2,0.0,,,,0,,970,
seen_templates,regex,MERCHANT,3,0.0,,,,0,,1009,
seen_templates,regex,ORG_THIRD_PARTY,2,0.0,,,,0,,957,
seen_templates,regex,PERSON,1,0.0,,,,0,,1034,
seen_templates,regex,PROTECTED_ATTR,2,0.0,,,,0,,1017,
seen_templates,regex,RELATIONSHIP,2,0.0,,,,0,,1049,
seen_templates,regex,TEMPORAL,3,0.0,,,,0,,1542,
transfer,encoder,ALL,,0.92,,,,225,35,24152,209.3
transfer,presidio,ALL,,60.65,,,,14785,8397,9592,45.2
transfer,spacy,ALL,,68.5,,,,16699,24106,7678,37.7
transfer,regex,ALL,,0.0,,,,0,5018,24377,0.2
